gene_symbol,count
ZMAT3,5
BIVM,5
MRPL30,5
SLC2A13,5
MYLK,5
SPDEF,5
EIF3M,5
ABLIM2,5
SMAD5,5
MIER3,5
TXLNGY,5
TPR,5
MAU2,5
RAP2A,5
ZNF24,5
COL1A1,5
SNX24,5
SMCR8,5
C6orf89,5
CEP57,5
ZNF397,5
PSPC1,5
PNN,5
VPS13D,5
VTI1A,5
GULP1,5
WHAMMP2 /// WHAMMP3,5
SETD5,5
LINC00957,5
ARID5B,5
MIR4745 /// PTBP1,5
GPR98,5
ALG13,5
SMIM4,5
SLC4A4,5
NLRP1,5
RALGPS2,5
PATL1,5
BTRC,5
PDLIM4,5
MOBP,5
HNRNPU,5
ZBTB38,5
RIOK3,5
NEDD9,5
BAIAP2-AS1,5
SRSF4,5
SAMD14,5
LOC101928717 /// SLC19A1,5
ADAMTS9-AS2,5
SFT2D1,5
MARCH7,5
ZNF396,5
STAM2,5
PERP,5
PHC3,5
ADAM12,5
DLC1,5
IL1RN,5
MEX3C,5
MED13L,5
TGOLN2,5
PEX13,5
TBC1D1,5
IPO5,5
BIN1,5
AKR1C1,5
NAP1L4,5
ADCY1,5
MAP2K7,5
ODF3B,5
CTTN,5
TOR1AIP1,5
ARHGAP27,5
BLVRA,5
ZFAND5,5
MYO10,5
PRKAA1,5
C1orf228,5
INSR,5
IGKC,5
TLDC1,5
IGF1,5
CTDSPL,5
WIPI2,5
FGD6,5
TBC1D16,5
TNS1,5
MCM3AP,5
USP25,5
CD58,5
SEPT6,5
KCNIP3,5
MSRB3,5
SEZ6L2,5
PRKD3,5
KLF6,5
ENSA,5
MCM4,5
ARMCX4,5
NEK1,5
U2SURP,5
CAST,5
PGAP1,5
BCAS4,5
STK24,5
SUPT20H,5
DGCR14 /// TSSK2,5
KDM5A,5
CLCN5,5
NRF1,5
SEC63,5
LUZP1,5
SLC16A1,5
GNL1,5
LOC100506639 /// ZNF131,5
STX17,5
KLHL22,5
PHTF2,5
GDF11,5
SRSF10,5
C12orf49,5
ZEB2,5
SLC25A36,5
ZNF814,5
NAPEPLD,5
AVPR1A,5
AGFG1,5
KPNA4,5
TLE4,5
ZAN,5
SRRT,5
USP48,5
OXR1,5
TOX4,5
TFPI,5
ELP2,5
ZNF827,5
ABCF2,5
UBE2D4,5
KAT6B,5
ABCC9,5
TMEM107,5
INIP,5
LIFR,5
SHANK2,5
ZBTB43,5
EZH1,5
TUSC3,5
PITPNC1,5
SKIL,5
MKLN1,5
SLC12A4,5
SP110,5
MLX,5
ARHGAP35,5
CCDC57,5
SCML4,5
ALDH6A1,5
TBX1,5
GABRB3,5
SYN2,5
LINC00689,5
TRIQK,5
YTHDC1,5
PDE4A,5
HELLS,5
DKK3,5
RTFDC1,5
LINC00662,5
BTF3L4,5
FBXL17,5
CLIC5,5
HEATR1,5
AP1S3,5
EPS8L1,5
PHF20,5
FOSL2,5
GTPBP1,5
PCDH7,5
GPRIN3,5
PROM2,5
CACNA1G,5
PCGF5,5
SP3,5
CTLA4,5
MTG2,5
FAM124A,5
DENR,5
LOC101060747 /// PDPK1,5
RASEF,5
EHD1,5
FCAR,5
HDAC9,5
SEPT2,5
RPL35A,5
GRIA3,5
RARA,5
